Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780949689,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949690,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949691,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949692,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949693,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949694,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949695,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949696,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949697,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949698,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949699,5,,Aggregated,0.200000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,18,0,19000,26650.09097683287,121.12542500108248,60685.63453100069,291.0
1780949700,5,,Aggregated,0.100000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,19,0,30000,27545.144514736374,121.12542500108248,60685.63453100069,290.4736842105263
1780949701,5,,Aggregated,0.100000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,19,0,30000,27545.144514736374,121.12542500108248,60685.63453100069,290.4736842105263
1780949702,5,,Aggregated,0.100000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,19,0,30000,27545.144514736374,121.12542500108248,60685.63453100069,290.4736842105263
1780949703,5,,Aggregated,0.100000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,19,0,30000,27545.144514736374,121.12542500108248,60685.63453100069,290.4736842105263
1780949704,5,,Aggregated,0.100000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,19,0,30000,27545.144514736374,121.12542500108248,60685.63453100069,290.4736842105263
1780949705,5,,Aggregated,0.100000,0.000000,30000,32000,44000,45000,61000,61000,61000,61000,61000,61000,61000,19,0,30000,27545.144514736374,121.12542500108248,60685.63453100069,290.4736842105263
1780949706,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949707,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949708,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949709,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949710,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949711,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949712,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949713,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949714,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949715,5,,Aggregated,0.100000,0.000000,30000,35000,44000,45000,61000,61000,61000,61000,61000,61000,61000,20,0,30000,27927.866164849547,121.12542500108248,60685.63453100069,290.0
1780949716,5,,Aggregated,0.100000,0.000000,30000,35000,44000,44000,60000,61000,61000,61000,61000,61000,61000,21,0,30000,28694.014764618518,121.12542500108248,60685.63453100069,289.57142857142856
1780949717,5,,Aggregated,0.100000,0.000000,30000,35000,44000,44000,60000,61000,61000,61000,61000,61000,61000,21,0,30000,28694.014764618518,121.12542500108248,60685.63453100069,289.57142857142856
1780949718,5,,Aggregated,0.100000,0.000000,30000,35000,44000,44000,60000,61000,61000,61000,61000,61000,61000,21,0,30000,28694.014764618518,121.12542500108248,60685.63453100069,289.57142857142856
1780949719,5,,Aggregated,0.100000,0.000000,30000,35000,44000,44000,60000,61000,61000,61000,61000,61000,61000,21,0,30000,28694.014764618518,121.12542500108248,60685.63453100069,289.57142857142856
